Precision,Recall
0.432511874,0.9794613
0.43308651,0.979276502
0.43365774,0.979078477
0.434234985,0.978891842
0.434807653,0.97868647
0.435387213,0.978492486
0.435974009,0.97830034
0.436548284,0.97808762
0.437122804,0.977868287
0.43770841,0.977673936
0.438286457,0.977465625
0.438875654,0.977269805
0.439463861,0.977059656
0.440051372,0.976849875
0.440645848,0.976641931
0.44123486,0.976433987
0.441824537,0.976209511
0.442425944,0.976014793
0.443014429,0.975791051
0.443610017,0.975571718
0.444215655,0.975355323
0.44480632,0.97512754
0.445408192,0.974906003
0.446013933,0.974699896
0.446612115,0.97447248
0.447206836,0.974229633
0.447803445,0.973996339
0.448414112,0.973776639
0.449011282,0.973535997
0.449618377,0.973312255
0.450220609,0.973062428
0.450812252,0.972795701
0.451428413,0.972568285
0.452045162,0.972335726
0.452660688,0.972086634
0.453280434,0.971840481
0.453900581,0.971603881
0.454511338,0.971351115
0.45512911,0.971093573
0.455748006,0.970841174
0.456365793,0.970578121
0.456987097,0.970326825
0.457604401,0.970067813
0.4582251,0.969801821
0.458852475,0.969538401
0.459472738,0.96926947
0.460103728,0.969014132
0.460729459,0.968739323
0.461354479,0.968470391
0.461991287,0.968211013
0.462628322,0.967946857
0.463254405,0.967665802
0.463883924,0.967379604
0.464516994,0.967088262
0.46515328,0.96679545
0.465789959,0.966519906
0.466428539,0.966263466
0.467041999,0.965983513
0.467646878,0.965690701
0.468255199,0.9654034
0.468878655,0.96513153
0.469496004,0.964849005
0.470115041,0.964570522
0.470722809,0.964274036
0.471345588,0.963975347
0.471969744,0.963671146
0.472592684,0.963365843
0.473219892,0.963067153
0.473847608,0.962754869
0.474466443,0.962437442
0.475101635,0.962138385
0.475735008,0.961834551
0.476370014,0.96153329
0.476996032,0.961207413
0.477622412,0.960883005
0.478252336,0.960565946
0.478893255,0.960255499
0.479533117,0.959939542
0.480167799,0.959601908
0.480807578,0.959289625
0.481436353,0.95894942
0.482067892,0.958601866
0.482715271,0.958288113
0.483351939,0.957954521
0.4839882,0.957614316
0.484630595,0.957282193
0.48527198,0.956937947
0.485914636,0.956601048
0.486557162,0.956263047
0.487204559,0.955916229
0.487852323,0.955576758
0.488495034,0.955222592
0.489136359,0.954862915
0.489783203,0.954505442
0.490427758,0.954143561
0.491076242,0.953789027
0.49172134,0.953423839
0.492363328,0.953038077
0.493016644,0.95266995
0.493660549,0.952302558
0.494307243,0.951925981
0.494964997,0.951559691
0.495622869,0.951201483
0.496288889,0.950843276
0.496948172,0.950466331
0.497605041,0.950088284
0.498265613,0.94970987
0.498927416,0.9493366
0.499584341,0.948937979
0.500245391,0.948547074
0.500917674,0.948168292
0.501581788,0.947780326
0.502248616,0.947387216
0.502913875,0.946985656
0.503573939,0.946570503
0.504244175,0.946164902
0.504915891,0.945757831
0.505578912,0.945340841
0.506260673,0.94494369
0.506931663,0.94453221
0.507600076,0.944100157
0.508267115,0.943671778
0.508935702,0.943244133
0.5096008,0.942805834
0.510282912,0.942391783
0.510960992,0.941956055
0.51163743,0.941519593
0.512307875,0.941076518
0.512983438,0.940629769
0.513663762,0.940185592
0.514342161,0.939737006
0.515025646,0.939279235
0.515698968,0.938806769
0.516384691,0.938355243
0.517058063,0.937885349
0.517746262,0.937426476
0.518429173,0.936967603
0.519118052,0.936503586
0.519795596,0.93602818
0.520477388,0.935549101
0.52116087,0.935067817
0.521854037,0.934594983
0.522541001,0.934103045
0.523229231,0.933614413
0.523916464,0.93312872
0.524624537,0.932662867
0.525311424,0.932151089
0.526009223,0.931626086
0.526723749,0.93114223
0.527424445,0.930624574
0.528145379,0.930121982
0.5288404,0.929593671
0.529558793,0.92907822
0.530276713,0.928578934
0.530993886,0.928064217
0.531708464,0.927539214
0.532422554,0.92700429
0.533140267,0.926467163
0.533872929,0.925945466
0.534601146,0.925424503
0.535321269,0.924880763
0.536039351,0.924335185
0.536770402,0.923811284
0.537487653,0.923246969
0.53821125,0.922691105
0.538941625,0.922134873
0.539671987,0.921575702
0.54040494,0.921032328
0.541140162,0.920474627
0.541867921,0.919901127
0.542600536,0.919334976
0.543327696,0.918758905
0.54405878,0.918189814
0.544784371,0.91759721
0.545517986,0.917026283
0.546250597,0.916445803
0.54698147,0.915853934
0.547708183,0.915255084
0.548442696,0.914663215
0.549166427,0.914059222
0.549903691,0.913460005
0.550635496,0.912866667
0.551380928,0.912272226
0.552111843,0.911659416
0.552838124,0.911031909
0.553572518,0.910415793
0.554317185,0.909818413
0.555060125,0.909204133
0.555815708,0.908606018
0.556555362,0.907972634
0.557317292,0.907326391
0.5580828,0.9066728
0.558857822,0.906028394
0.559612618,0.905350922
0.56036882,0.904685207
0.561120118,0.903995979
0.561887973,0.903316303
0.562651378,0.902624871
0.563405685,0.901929397
0.564164631,0.901224004
0.564917916,0.900520815
0.565689769,0.899826076
0.566447831,0.899121051
0.567205533,0.898400962
0.567979837,0.897711366
0.568743367,0.896996421
0.569502578,0.896287721
0.570262275,0.89559335
0.571015365,0.894865545
0.571764993,0.894143252
0.572535451,0.893432715
0.573293922,0.892712259
0.574063504,0.891993272
0.574826306,0.891251875
0.575584118,0.89050864
0.576346287,0.889761364
0.577100987,0.888993881
0.577864296,0.888235216
0.578628596,0.887479123
0.579403333,0.886725601
0.580172089,0.885975019
0.580950126,0.885226641
0.581703009,0.884439319
0.58246977,0.883671469
0.583246709,0.882899578
0.58402317,0.882130993
0.584801135,0.881344039
0.585590826,0.880566269
0.586378326,0.879802093
0.58715633,0.879019547
0.587933802,0.878234063
0.588730962,0.877465845
0.589511975,0.876664195
0.5902803,0.875851524
0.591044416,0.875027095
0.591810533,0.874202299
0.592588401,0.873393669
0.593362181,0.872568873
0.594135291,0.871737097
0.594910217,0.870889523
0.595680202,0.870043786
0.596460422,0.869202825
0.597221612,0.868327696
0.597989959,0.867467998
0.598783892,0.866634753
0.599552466,0.865759624
0.60032488,0.864893313
0.601109546,0.864028471
0.601889856,0.863150404
0.602647791,0.862238903
0.60342004,0.861347242
0.604209931,0.860482033
0.604971731,0.859545918
0.605775564,0.858628907
0.606562544,0.85768728
0.607357222,0.856756308
0.608156375,0.855817988
0.608961596,0.854867544
0.609783221,0.853958983
0.610602226,0.853026174
0.611406795,0.852070586
0.612214178,0.851117938
0.613036958,0.850170801
0.613863584,0.849242768
0.614677319,0.848285711
0.615486172,0.847306243
0.616288169,0.846312079
0.617105406,0.845339224
0.617893969,0.844333672
0.618705009,0.843349795
0.619484074,0.842331751
0.620305877,0.84136257
0.621125531,0.8403651
0.621925783,0.83935073
0.622740427,0.838329746
0.623544054,0.837309498
0.624331632,0.836259123
0.625148732,0.83523116
0.625935185,0.834160946
0.626757535,0.833133349
0.627553585,0.832072688
0.628346807,0.830989983
0.629162584,0.829941812
0.629939299,0.828849922
0.63074246,0.827787056
0.631555017,0.826720884
0.63236742,0.825652507
0.633178633,0.824587804
0.633970514,0.823467625
0.634779659,0.822388226
0.63558466,0.821297806
0.636395045,0.820207753
0.637209821,0.819116965
0.638016692,0.818028382
0.638811678,0.816902324
0.639637052,0.815812271
0.640447433,0.814691725
0.641262318,0.813571913
0.64205529,0.81243116
0.642857871,0.811292978
0.643685478,0.810171697
0.644469842,0.809009268
0.645256728,0.807845002
0.646056066,0.806699105
0.646864546,0.805557617
0.647689835,0.80440474
0.648502732,0.803254067
0.649312256,0.802083555
0.650122777,0.800922228
0.650922981,0.799750247
0.65171667,0.798567611
0.652519552,0.79738424
0.6533101,0.796178826
0.654083894,0.794946592
0.65487256,0.793741913
0.655690214,0.792542009
0.656505572,0.791332187
0.657321581,0.790116485
0.65812381,0.788883884
0.658899531,0.787629974
0.659678057,0.786366512
0.660463774,0.785112969
0.661266073,0.783858325
0.662063881,0.782608823
0.662861788,0.781327359
0.663656076,0.780050671
0.664444766,0.778768472
0.665255218,0.777498396
0.666064016,0.776233465
0.666862262,0.774933263
0.667646388,0.773628286
0.668462079,0.77234131
0.669267582,0.771046987
0.670061041,0.769726579
0.670847874,0.768396987
0.671642439,0.767082089
0.672440687,0.765762416
0.673254467,0.764445682
0.674084644,0.763138868
0.674850404,0.761763718
0.675634633,0.760411715
0.676428056,0.759066324
0.677216732,0.757704401
0.678017892,0.756358643
0.678807017,0.754991208
0.679618762,0.753649124
0.680389042,0.752268831
0.681193474,0.750891845
0.681971864,0.749504939
0.682744305,0.748096357
0.683557978,0.746732229
0.684324455,0.745309319
0.685112099,0.743893756
0.685850681,0.742443291
0.686618258,0.741011196
0.68738595,0.739571385
0.688189357,0.738170886
0.688974333,0.736730708
0.689746978,0.735278774
0.690553176,0.733791937
0.691381724,0.732256237
0.692201572,0.730726415
0.693017224,0.729165365
0.693818037,0.727600642
0.69465146,0.72605245
0.695467452,0.724500218
0.696308345,0.722962314
0.697144837,0.721407877
0.69798876,0.719846827
0.698836007,0.718278429
0.699655416,0.716650146
0.700473268,0.715055664
0.701304409,0.713461548
0.702143843,0.711866698
0.702977505,0.710235109
0.703775469,0.70856972
0.704604244,0.706930415
0.705429481,0.705284865
0.706273378,0.703637845
0.707096376,0.701981273
0.707937563,0.700330947
0.708765607,0.698665925
0.709633898,0.697015599
0.71049831,0.695363436
0.711341997,0.693659103
0.712173371,0.691949626
0.712995085,0.690216269
0.713859856,0.688525162
0.714701131,0.686796949
0.715509193,0.685024648
0.716327881,0.683285413
0.717145609,0.681530013
0.71794638,0.67976359
0.718765068,0.677986514
0.71957069,0.676210907
0.720427078,0.674456241
0.72127619,0.67269533
0.722089904,0.670877472
0.722911734,0.669072474
0.723698189,0.667219715
0.724519358,0.665398551
0.725319155,0.663572244
0.72613492,0.661746304
0.726967119,0.659901994
0.727774482,0.658067237
0.728577233,0.656203089
0.729379734,0.654327918
0.730193841,0.652479935
0.731057534,0.650655832
0.73190843,0.648794623
0.732743791,0.6469268
0.733551766,0.645029219
0.734404615,0.643153314
0.735250546,0.641287695
0.736085951,0.639388277
0.736926756,0.637481878
0.737779404,0.635571806
0.738578692,0.633633444
0.739407677,0.631697654
0.740235271,0.629751209
0.741080683,0.627804397
0.741880256,0.625810927
0.742728311,0.623858971
0.743583954,0.62192612
0.744399094,0.61993265
0.7451894,0.617898766
0.746002856,0.615893906
0.746842713,0.613897496
0.747644948,0.611861775
0.748458938,0.609843322
0.749289282,0.607819358
0.750082455,0.605758287
0.750923432,0.603716688
0.751754826,0.601695295
0.752583708,0.599654063
0.753409576,0.597602545
0.754215132,0.595533759
0.755005078,0.593454685
0.755867112,0.59140831
0.756751695,0.589336585
0.75756885,0.587255675
0.758401718,0.585196074
0.759246751,0.583101937
0.760053638,0.580986492
0.760903409,0.578910726
0.761737255,0.576796383
0.762535558,0.574650077
0.763360933,0.572505976
0.764183654,0.570372161
0.764962154,0.568195362
0.765768936,0.566009377
0.766587814,0.56385205
0.767404365,0.561674148
0.768241967,0.559511309
0.769065976,0.557366473
0.769865674,0.555215758
0.770616708,0.553031244
0.771409271,0.550857751
0.772209365,0.548684258
0.773002077,0.546505254
0.773775533,0.544318168
0.774533851,0.542120427
0.775347413,0.539948403
0.77613683,0.537758745
0.776930895,0.535566148
0.77768688,0.533306685
0.778472897,0.531086901
0.77924994,0.528870056
0.780044369,0.526668641
0.780835353,0.524442978
0.781612438,0.522222826
0.78239001,0.519994959
0.783131633,0.517731823
0.783931269,0.51548779
0.784699894,0.513229062
0.785478744,0.510982826
0.786222264,0.508681113
0.786957823,0.506384911
0.787703249,0.504077687
0.788486197,0.501774872
0.78926179,0.499488223
0.79006915,0.497208553
0.790855356,0.494905003
0.791634242,0.492593371
0.792412281,0.490244264
0.793184596,0.48789773
0.793949657,0.485568095
0.794741975,0.483217519
0.795578123,0.480895967
0.796350868,0.478539145
0.797106289,0.476157708
0.79791074,0.473802356
0.798723586,0.471428634
0.799573642,0.469065934
0.80032476,0.466635634
0.801113053,0.464230317
0.80189242,0.461804793
0.802650998,0.459362369
0.803458017,0.456927292
0.804291305,0.454490012
0.805136604,0.452068529
0.805939355,0.449626105
0.806733412,0.447138124
0.807550954,0.444645735
0.808359243,0.442164
0.809161751,0.439669406
0.809951896,0.437162321
0.810725405,0.434620333
0.811420122,0.432066222
0.812209006,0.429534521
0.813060604,0.427038091
0.813876429,0.424482142
0.814676021,0.421951911
0.815505905,0.419403311
0.816355678,0.41683781
0.817188372,0.414246592
0.818000895,0.411645087
0.81872735,0.409022274
0.819519629,0.406414155
0.820371921,0.40379722
0.821137997,0.401160813
0.821940883,0.398521834
0.82276721,0.395885794
0.823527058,0.393217056
0.82432862,0.390575505
0.825087409,0.387892807
0.825963976,0.385251256
0.826787746,0.382564516
0.827599593,0.379872265
0.82837413,0.377170095
0.829202852,0.374465352
0.830022298,0.371712482
0.83083651,0.368958142
0.83165534,0.366241275
0.83247638,0.363501263
0.833284399,0.360775212
0.834093049,0.358049896
0.834918492,0.355315028
0.835630062,0.352532766
0.836427294,0.349760791
0.837282657,0.346985142
0.83808371,0.344178632
0.838946394,0.3413949
0.839785485,0.338569286
0.840685889,0.335785922
0.841482245,0.332963614
0.84225604,0.330094648
0.843026123,0.327222742
0.843847193,0.324357817
0.844624106,0.321486646
0.845492638,0.318624292
0.846257323,0.315716015
0.847030324,0.312798185
0.847879886,0.309900929
0.848719863,0.306969138
0.849593304,0.304078496
0.850351747,0.301090861
0.851239981,0.298191034
0.85211228,0.295225443
0.852967854,0.292281896
0.85381553,0.289331368
0.85462173,0.286353286
0.855456576,0.283376673
0.856291053,0.280372506
0.857180321,0.277401405
0.857963169,0.274358294
0.858835623,0.271343473
0.859598921,0.26829926
0.860478004,0.265258354
0.861371561,0.262216346
0.862128733,0.259128046
0.862957639,0.256043787
0.863881033,0.252952548
0.864753015,0.249881516
0.865561239,0.246764927
0.866380206,0.243638418
0.867270586,0.240550853
0.868237207,0.237429121
0.869192544,0.234299673
0.869995339,0.231108503
0.870916572,0.227932764
0.871757566,0.224754086
0.872671315,0.221578347
0.873548825,0.218363297
0.874462798,0.215146777
0.875385309,0.21190454
0.876247049,0.208650179
0.877160225,0.205383326
0.877984174,0.20214513
0.878972702,0.198918691
0.87990437,0.195659554
0.880745734,0.192376903
0.881687463,0.189118868
0.882663307,0.185858996
0.883531416,0.182553935
0.884446435,0.17923528
0.885458261,0.175890541
0.886439821,0.172545801
0.887323509,0.169194448
0.888200652,0.165842361
0.889111598,0.162480354
0.890003844,0.159081607
0.890912034,0.155708946
0.89179452,0.152325997
0.89262787,0.148911453
0.893359539,0.14545172
0.894374521,0.142048197
