threshold,recall,precision
8.58306884765625e-06,1.0,0.18510878109082346
8.64267349243164e-06,1.0,0.18515157628775553
8.761882781982422e-06,1.0,0.1851993635885706
8.821487426757812e-06,1.0,0.1852473360478212
8.881092071533203e-06,1.0,0.18529292488145746
8.940696716308594e-06,1.0,0.18533853615917734
9.000301361083984e-06,1.0,0.1853838484546361
9.059906005859375e-06,1.0,0.1854312733327263
9.179115295410156e-06,1.0,0.1854755048227049
9.238719940185547e-06,1.0,0.18552024029109787
9.298324584960938e-06,1.0,0.18556435320499023
9.357929229736328e-06,1.0,0.1856112260283307
9.417533874511719e-06,1.0,0.18565651058036597
9.5367431640625e-06,1.0,0.18569826929640285
9.59634780883789e-06,1.0,0.18574988902662232
9.655952453613281e-06,1.0,0.185795402708327
9.715557098388672e-06,1.0,0.18584529969945748
9.834766387939453e-06,1.0,0.18589199137266288
9.894371032714844e-06,1.0,0.18594145519399716
9.953975677490234e-06,1.0,0.18598479807744997
1.0073184967041016e-05,1.0,0.1860304269640634
1.0132789611816406e-05,1.0,0.18607737364367258
1.0192394256591797e-05,1.0,0.1861292043825419
1.0311603546142578e-05,1.0,0.18617684933093143
1.0371208190917969e-05,1.0,0.18622662706948956
1.043081283569336e-05,1.0,0.18627075206584212
1.055002212524414e-05,1.0,0.18631782013613693
1.0609626770019531e-05,1.0,0.18636913519129264
1.0728836059570312e-05,1.0,0.18641657803427894
1.0788440704345703e-05,1.0,0.18646664666815493
1.0848045349121094e-05,1.0,0.18651576606044748
1.0967254638671875e-05,1.0,0.18656458578720062
1.1026859283447266e-05,1.0,0.18661831701314344
1.1146068572998047e-05,1.0,0.18666295373559857
1.1205673217773438e-05,1.0,0.18670891602285586
1.1324882507324219e-05,1.0,0.18675783692762393
1.138448715209961e-05,1.0,0.18680613068592813
1.150369644165039e-05,1.0,0.18685608225369246
1.1563301086425781e-05,1.0,0.18690834777044898
1.1682510375976562e-05,1.0,0.1869601521344729
1.1742115020751953e-05,1.0,0.18700789639620335
1.1861324310302734e-05,1.0,0.18705501051922546
1.1920928955078125e-05,1.0,0.18710755111898245
1.2040138244628906e-05,1.0,0.18715897453851607
1.2099742889404297e-05,1.0,0.18720567313795444
1.2218952178955078e-05,1.0,0.1872538708555946
1.233816146850586e-05,1.0,0.1873068513885677
1.239776611328125e-05,1.0,0.18736265276867484
1.2516975402832031e-05,1.0,0.18741783033519965
1.2636184692382812e-05,1.0,0.18746482256545852
1.2695789337158203e-05,1.0,0.18751298939889666
1.2814998626708984e-05,1.0,0.18756759743899454
1.2934207916259766e-05,1.0,0.18762635303036684
1.2993812561035156e-05,1.0,0.18767575594805522
1.3113021850585938e-05,1.0,0.1877241960546762
1.3232231140136719e-05,1.0,0.18777579413342793
1.329183578491211e-05,1.0,0.18782362598125374
1.341104507446289e-05,1.0,0.18787379312102045
1.3530254364013672e-05,1.0,0.1879281160520779
1.3649463653564453e-05,1.0,0.1879796610527093
1.3709068298339844e-05,1.0,0.18803536803598359
1.3828277587890625e-05,1.0,0.1880834976699675
1.3947486877441406e-05,1.0,0.1881318174699675
1.4066696166992188e-05,1.0,0.188190099009901
1.4185905456542969e-05,1.0,0.18823847360553822
1.430511474609375e-05,1.0,0.18829085222279557
1.4424324035644531e-05,1.0,0.1883331410347309
1.4483928680419922e-05,1.0,0.18838723205184568
1.4603137969970703e-05,1.0,0.18844035775564644
1.4722347259521484e-05,1.0,0.18849052262836521
1.4841556549072266e-05,1.0,0.18854553534584007
1.4960765838623047e-05,1.0,0.1885937601978448
1.5079975128173828e-05,1.0,0.1886418433052882
1.519918441772461e-05,1.0,0.18868945142392232
1.531839370727539e-05,1.0,0.18873591746957538
1.5437602996826172e-05,1.0,0.18878307308059375
1.5556812286376953e-05,1.0,0.18883258682567045
1.5676021575927734e-05,1.0,0.18887828921217903
1.5795230865478516e-05,1.0,0.1889293552593912
1.5914440155029297e-05,1.0,0.1889746034804111
1.6033649444580078e-05,1.0,0.18901970629287795
1.621246337890625e-05,1.0,0.18906834121445978
1.633167266845703e-05,1.0,0.18911215077252347
1.6450881958007812e-05,1.0,0.18915631529502516
1.6570091247558594e-05,1.0,0.1892063598806173
1.6689300537109375e-05,1.0,0.18924839100235774
1.6808509826660156e-05,1.0,0.18929178134214797
1.6987323760986328e-05,1.0,0.18933535922902628
1.710653305053711e-05,1.0,0.18938063443057213
1.722574234008789e-05,1.0,0.18942979091329484
1.7344951629638672e-05,1.0,0.18947242503721556
1.7523765563964844e-05,1.0,0.18951625411349296
1.7642974853515625e-05,1.0,0.18955758284406848
1.7762184143066406e-05,1.0,0.18960145133145118
1.7940998077392578e-05,1.0,0.1896450037382498
1.806020736694336e-05,1.0,0.18968823961478823
1.817941665649414e-05,1.0,0.18972981174397466
1.8358230590820312e-05,1.0,0.18977392841643392
1.8477439880371094e-05,1.0,0.18981570661480188
1.8656253814697266e-05,1.0,0.18985885179571735
1.8775463104248047e-05,1.0,0.18990066739785882
1.895427703857422e-05,1.0,0.18994469484452198
1.9073486328125e-05,1.0,0.1899818219618421
1.9252300262451172e-05,1.0,0.19002791352406243
1.9371509552001953e-05,1.0,0.19006439742410303
1.9550323486328125e-05,1.0,0.19010951494428233
1.9669532775878906e-05,1.0,0.19015228652097552
1.9848346710205078e-05,1.0,0.19019643073157194
1.996755599975586e-05,1.0,0.190242626497899
2.014636993408203e-05,1.0,0.19028681266852357
2.0325183868408203e-05,1.0,0.19032898642700677
2.0444393157958984e-05,1.0,0.190365416562061
2.0623207092285156e-05,1.0,0.1904038951452265
2.0802021026611328e-05,1.0,0.19044442465265407
2.092123031616211e-05,1.0,0.19048717738573318
2.110004425048828e-05,1.0,0.19053079816197405
2.1278858184814453e-05,1.0,0.19057375953399083
2.1457672119140625e-05,1.0,0.19061606059606576
2.1636486053466797e-05,1.0,0.19065464058161743
2.1755695343017578e-05,1.0,0.19069340624648856
2.193450927734375e-05,1.0,0.19073525004281555
2.2113323211669922e-05,1.0,0.19078255904212132
2.2292137145996094e-05,1.0,0.19082324993240055
2.2470951080322266e-05,1.0,0.19086361745693695
2.2649765014648438e-05,1.0,0.19090519511824944
2.282857894897461e-05,1.0,0.19094713192194626
2.300739288330078e-05,1.0,0.1909817521866384
2.3186206817626953e-05,1.0,0.19102423458448872
2.3365020751953125e-05,1.0,0.19106571153617616
2.3543834686279297e-05,1.0,0.191105327741021
2.372264862060547e-05,1.0,0.19115230788759943
2.390146255493164e-05,1.0,0.19119042147889118
